summer,winter,name,fall,spring,number,description
 , ,Optimization Theory and Applications,[u'Section 01'], ,ISM206,"[u'A first graduate course in optimization with an emphasis on problems arising in management and engineering applications. Objectives are to become experts in problem formulation, comfortable with software for solving these problems, and familiar with analytical methods behind these solver technologies. Prerequisite(s): calculus and linear algebra. Enrollment restricted to graduate students. K. Ross, S. Desa', u'5 Credits']"
 , ,Individual Study or Research, , ,ISM198F,"[u'Intended for majors. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Introduction to Optimization in Business, , ,ISM204,"[u'Covers optimization with emphasis on problems arising in management. Students become proficient at mathematical modeling of business decisions and familiar with a range of techniques and tools used to solve optimization problems.', u'5 Credits']"
 , ,Individual Study or Research, , ,ISM199,"[u'Individual directed study for upper-division undergraduates. Students submit petition to sponsoring agency. Enrollment restricted to senior information systems management majors. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Group Tutorial, , ,ISM194F,"[u'A program of independent study arranged between a group of students and a faculty member. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Senior Thesis Research, , ,ISM195,"[u'Intended for majors. Students submit petition to sponsoring agency. The Staff', u'5 Credits']"
 , ,Business Strategy and Information Systems, ,[u'Section 01'],ISM158,"[u'Analysis of effective use of information systems within a business enterprise, with emphasis on gaining a competitive advantage. Integration of information systems with business strategy, financial justification, personnel, and organizational considerations are highlighted. Intended for information system management majors or senior engineering majors who have a business interest. Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; course 50 or permission of instructor. (General Education Code(s): W.) K. Ross', u'5 Credits']"
 , ,Field Study, , ,ISM193F,"[u'Provides individual programs of study with specific academic objectives carried out under direction of faculty member of Information Systems Management and a willing sponsor at field site. Uses resources not normally available on campus. Credit based on presentation of evidence of achieving objectives by submitting written and oral presentation. Cannot normally be repeated for credit. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Group Tutorial, ,[u'Section 01'],ISM194,"[u'A program of independent study arranged between a group of students and a faculty member. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 ,[u'Section 01'],Management of Technology II, , ,ISM125,"[u'High-technology enterprises must understand and operate effectively within their technology-business value chains in order to maximize profitability. This course develops and applies methods and tools for the design, optimization, selection, and management of these value chain networks. Students who receive credit for course 225 cannot also receive credit for this course. Prerequisite(s): course 105. R. Akella, S. Desa', u'5 Credits']"
 , ,Financial Engineering & Management in High Technology Firms, , ,ISM130,"[u'Address methods and tools for financing technology development and projects.  Includes approaches for coordinating finance and accounting with strategy and operations of firm, discounted cash flow analysis, activity based costing, finanical planning, elements of financial accounting, and investment science.  Taught in conjunction with ISM 230.  Prerequisite(s):  Economics 113 or Applied Mathematics and Statistics 131 or Computer Engineering 107 or by consent of instructor.  Staff', u'5 Credits']"
 , ,Field Study, , ,ISM193,"[u'Provides individual programs of study with specific academic objectives carried out under direction of faculty member of Information Systems Management and a willing sponsor at field site. Uses resources not normally available on campus. Credit based on presentation of evidence of achieving objectives by submitting written and oral presentation. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Management of Technology I,[u'Section 01'], ,ISM105,"[u'An in-depth examination of technological, strategic, marketing, and financial methods and analytical tools for the management of technology to enable cost-effective and rapid development of profitable and high quality technologies. Includes case studies and a comprehensive project. Students who receive credit for course 205 cannot also receive credit for this course. Prerequisite(s): Mathematics 19B or 11B or Applied Mathematics and Statistics 11B or Economics 11B. S. Desa', u'5 Credits']"
